author,content,retweet,new_june_2018
politweecs,House votes to repeal #Obamacare tax on medical devices http://t.co/MkCW1oUW3H,0,0
chesplayschess,Lorde #PresCandidatesBetterThanTrump http://t.co/bGTycLCWF6,1,0
karenparker93,I believe people w/ mental illnesses exist. I also believe racism exists #DylannRoof was well aware of what he was doing; don't mix these up,1,0
karenparker93,"#DylannRoof is a ""Real American.""",1,0
wadeharriot,"Before anything was known, Republicans like @NikkiHaley emphasized that #DylannRoof's motive will not be known http://t.co/YKkipGt1DF",1,0
wadeharriot,Nothing the court can do will be real 'justice' for #DylannRoof. Punishing one man won't end the entrenched racist oppression he represents.,1,0
arm_2_alan,"Cosmos 2, N.Y.C.F.C. 2; Cosmos win in penalty shootout, 4-3: Cosmos Knock Off New York City F.C., Another Local Rival, in Open Cup  #sports",1,0
lelandgraves_,"#DylannRoof is a ""Real American.""",1,0
lelandgraves_,"#inners #DylannRoof wasn't just targeting Christians, he was targeting Black Christians Senator GRAHAM",1,0
lelandgraves_,"Before anything was known, Republicans like @NikkiHaley emphasized that #DylannRoof's motive will not be known http://t.co/YKkipGt1DF",1,0
lelandgraves_,Murdering Terrorist #DylannRoof Arrested Not smashed or beaten No blood on his face Not shot @Nettaaaaaaaa @KeeganNYC http://t.co/ld4HIePHdm,1,0
heyits_toby,Nothing the court can do will be real 'justice' for #DylannRoof. Punishing one man won't end the entrenched racist oppression he represents.,1,0
heyits_toby,"#inners #DylannRoof wasn't just targeting Christians, he was targeting Black Christians Senator GRAHAM",1,0
heyits_toby,"#DylannRoof is a ""Real American.""",1,0
_billy_moyer_,Murdering Terrorist #DylannRoof Arrested Not smashed or beaten No blood on his face Not shot @Nettaaaaaaaa @KeeganNYC http://t.co/ld4HIePHdm,1,0
_billy_moyer_,"Before anything was known, Republicans like @NikkiHaley emphasized that #DylannRoof's motive will not be known http://t.co/YKkipGt1DF",1,0
_nickluna_,"#DylannRoof is a ""Real American.""",1,0
_nickluna_,I believe people w/ mental illnesses exist. I also believe racism exists #DylannRoof was well aware of what he was doing; don't mix these up,1,0
_nickluna_,"#inners #DylannRoof wasn't just targeting Christians, he was targeting Black Christians Senator GRAHAM",1,0
albertmorenmore,#PresCandidatesBetterThanTrump this lady liberty float my class made sophomore year http://t.co/GgYaUx9Kgs,1,0
albertmorenmore,#PresCandidatesBetterThanTrump JOHN GREEN,1,0
guillnavarrete,Denmark prime minister concedes election defeat  #politics,1,0
garrettsimpson_,#PresCandidatesBetterThanTrump Baby Born Without Nose Is Very Cute   http://t.co/7nZAw0SPDj,1,0
garrettsimpson_,Optimus would be better than all the candidates in both parties @ClayPerryMusic. #PresCandidatesBetterThanTrump http://t.co/Rvy55uRVlr,1,0
hollydler,Murdering Terrorist #DylannRoof Arrested Not smashed or beaten No blood on his face Not shot @Nettaaaaaaaa @KeeganNYC http://t.co/ld4HIePHdm,1,0
hollydler,Nothing the court can do will be real 'justice' for #DylannRoof. Punishing one man won't end the entrenched racist oppression he represents.,1,0
hollydler,"So which 1 of these presidential candidates will call #DylannRoof a terrorist, a thug, or a racist? Probably none. http://t.co/B40UHqqFfF",1,0
stanley_cox_,#PresCandidatesBetterThanTrump Baby Born Without Nose Is Very Cute   http://t.co/7nZAw0SPDj,1,0
drgregorywest,"#DylannRoof was far from being a ""lone wolf"" 2 million posts in the PUBLIC forum https://t.co/J9cXjszM2P  There is a cancer in this country",1,0
drgregorywest,Why wasn't the roommate arrested if he knew about #DylannRoof's plan for 6 months and he also seemingly has Confederate sympathies?,1,0
drgregorywest,I see people saying â€?DylannRoof wasn't part of an organization so he can't be terroristâ€? Ok. So the Tsarnaev brothers were from which org?,1,0
jsncarey,#PresCandidatesBetterThanTrump this lady liberty float my class made sophomore year http://t.co/GgYaUx9Kgs,1,0
jsncarey,#PresCandidatesBetterThanTrump Baby Born Without Nose Is Very Cute   http://t.co/7nZAw0SPDj,1,0
ryanmaxwell_1,#PresCandidatesBetterThanTrump my friend sydneys cat http://t.co/XGlw5doQhD,1,0
happkendrahappy,"#DylannRoof is a ""Real American.""",1,0
happkendrahappy,The #DylannRoof #RainbowDash photograph was NOT photo shopped http://t.co/ofeS6T7TUE,1,0
happkendrahappy,#DylannRoof is now the Trending top topic in US. Favorited images@  Visit http://t.co/sw90UkQfRf http://t.co/icUATuBLzo,1,0
happkendrahappy,"Is there a GoFundMe page for #DylannRoof yet, or will his Aryan brothers rob a few banks to fund his defense?",1,0
happkendrahappy,I believe people w/ mental illnesses exist. I also believe racism exists #DylannRoof was well aware of what he was doing; don't mix these up,1,0
donnabrivera,"#DylannRoof is a ""Real American.""",1,0
donnabrivera,"#DylannRoof was far from being a ""lone wolf"" 2 million posts in the PUBLIC forum https://t.co/J9cXjszM2P  There is a cancer in this country",1,0
donnabrivera,"Is there a GoFundMe page for #DylannRoof yet, or will his Aryan brothers rob a few banks to fund his defense?",1,0
jeannemccarthy0,#PresCandidatesBetterThanTrump this lady liberty float my class made sophomore year http://t.co/GgYaUx9Kgs,1,0
jeannemccarthy0,Riff Raff  #PresCandidatesBetterThanTrump http://t.co/1HAOROLfHw,1,0
marissaimstrong,"#DylannRoof is a ""Real American.""",1,0
marissaimstrong,If #DylannRoof had been planning this for 6 months & the roommate knew it & didn't say anything: Why isn't he locked up too? #WhitePrivilege,1,0
rh0lbr00k,#PresCandidatesBetterThanTrump Baby Born Without Nose Is Very Cute   http://t.co/7nZAw0SPDj,1,0
rh0lbr00k,The #GrindDaily Team  #PresCandidatesBetterThanTrump http://t.co/go6YnJb9Br,1,0
rh0lbr00k,#PresCandidatesBetterThanTrump Funniest Wrong Number Texts  http://t.co/IIcgFBVU8A,1,0
rh0lbr00k,#PresCandidatesBetterThanTrump this lady liberty float my class made sophomore year http://t.co/GgYaUx9Kgs,1,0
dorothiebell,Why wasn't the roommate arrested if he knew about #DylannRoof's plan for 6 months and he also seemingly has Confederate sympathies?,1,0
dorothiebell,"#DylannRoof is part of the KKK terrorist group, as are many people in that area. Why haven't the media mentioned this? #CharelstonShooter",1,0
dorothiebell,I believe people w/ mental illnesses exist. I also believe racism exists #DylannRoof was well aware of what he was doing; don't mix these up,1,0
kateritterrrr,#PresCandidatesBetterThanTrump Baby Born Without Nose Is Very Cute   http://t.co/7nZAw0SPDj,1,0
kateritterrrr,Riff Raff  #PresCandidatesBetterThanTrump http://t.co/1HAOROLfHw,1,0
mandy9stevens,Why wasn't the roommate arrested if he knew about #DylannRoof's plan for 6 months and he also seemingly has Confederate sympathies?,1,0
mandy9stevens,If #DylannRoof had been planning this for 6 months & the roommate knew it & didn't say anything: Why isn't he locked up too? #WhitePrivilege,1,0
mandy9stevens,#DylannRoof is now the Trending top topic in US. Favorited images@  Visit http://t.co/sw90UkQfRf http://t.co/icUATuBLzo,1,0
mandy9stevens,"#DylannRoof is part of the KKK terrorist group, as are many people in that area. Why haven't the media mentioned this? #CharelstonShooter",1,0
kenzdonovan,Optimus would be better than all the candidates in both parties @ClayPerryMusic. #PresCandidatesBetterThanTrump http://t.co/Rvy55uRVlr,1,0
kenzdonovan,#PresCandidatesBetterThanTrump Funniest Wrong Number Texts  http://t.co/IIcgFBVU8A,1,0
msheathowens,"#DylannRoof is a ""Real American.""",1,0
msheathowens,If #DylannRoof had been planning this for 6 months & the roommate knew it & didn't say anything: Why isn't he locked up too? #WhitePrivilege,1,0
msheathowens,I see people saying â€?DylannRoof wasn't part of an organization so he can't be terroristâ€? Ok. So the Tsarnaev brothers were from which org?,1,0
msheathowens,"Before anything was known, Republicans like @NikkiHaley emphasized that #DylannRoof's motive will not be known http://t.co/YKkipGt1DF",1,0
msheathowens,"Is there a GoFundMe page for #DylannRoof yet, or will his Aryan brothers rob a few banks to fund his defense?",1,0
carriethornthon,U can call #DylannRoof  whatever u want but to me he is a terrorist & no one is going to make me feel differently. http://t.co/NMVleUe9vM,1,0
carriethornthon,"Is there a GoFundMe page for #DylannRoof yet, or will his Aryan brothers rob a few banks to fund his defense?",1,0
clydedaws0n,#DylannRoof is now the Trending top topic in US. Favorited images@  Visit http://t.co/sw90UkQfRf http://t.co/icUATuBLzo,1,0
clydedaws0n,I believe people w/ mental illnesses exist. I also believe racism exists #DylannRoof was well aware of what he was doing; don't mix these up,1,0
clydedaws0n,The #DylannRoof #RainbowDash photograph was NOT photo shopped http://t.co/ofeS6T7TUE,1,0
evewebster373,The #GrindDaily Team  #PresCandidatesBetterThanTrump http://t.co/go6YnJb9Br,1,0
prettylaraplace,#PresCandidatesBetterThanTrump Baby Born Without Nose Is Very Cute   http://t.co/7nZAw0SPDj,1,0
cynthiamhunter,Riff Raff  #PresCandidatesBetterThanTrump http://t.co/1HAOROLfHw,1,0
jacquelinisbest,The #GrindDaily Team  #PresCandidatesBetterThanTrump http://t.co/go6YnJb9Br,1,0
jacquelinisbest,#PresCandidatesBetterThanTrump this lady liberty float my class made sophomore year http://t.co/GgYaUx9Kgs,1,0
jacquelinisbest,Optimus would be better than all the candidates in both parties @ClayPerryMusic. #PresCandidatesBetterThanTrump http://t.co/Rvy55uRVlr,1,0
arm_2_alan,Nevada ranked second in nation for private job growth  #business #news,1,0
arm_2_alan,ï¿½ï¿½ Islam's Hatred for the Christian Cross \| PJ Media http://t.co/c61TU8D84G,1,0
politweecs,CanadianPrimeMinisterHarper says federal government will fund 1/3ofcost of TorontoMayorJohn Tory'sSmartTrack proposal http://t.co/sUJwGXGl40,0,0
arm_2_alan,How Italy Is Quietly Working to Restore EU-Russia Ties http://t.co/Kbque2B2WC http://t.co/sK9Qj2Qeqi,1,0
moneyform,Anybody who access to a lab-top can make money working from their comforts online. @harveygreen6 @zaynftmilanos http://t.co/K22dfwfHhH,0,1
moneyform,...put into in this society can cause tough choices. Such as: only being able to make money certain ways which might not be legal or whatnot,0,1
moneyform,There are a lot of things you can do to make money on the Internet. @andrewkueneman @OzzieR89 @BileNasha @__Spanishx http://t.co/vMbYTd7nAk,0,1
moneyform,"Can't wait to make money, settle down, and have a family with someone I'm gonna call my best friend @BileNasha http://t.co/SWB63yPhZH",0,1
moneyform,Not into making friends rather make money @JaviB_killinemm @andrewkueneman @AnthonyNewcomb_ @brrrrrrrittney @ShitZone http://t.co/dewZ4zGTZi,0,1
moneyform,Summer: MAKE MONEY GET TURNT @ViicttorriaaM @AggreyJr @29VIOLA56 @DammitMichelle_ @Soso_Shooter @ApacheUS @Odion_vT http://t.co/K22dfwfHhH,0,1
chesplayschess,"Sounders Obafemi Martins, Clint Dempsey could miss significant time  #sports",1,0
guillnavarrete,Longtime Tenants in Manhattan See an Effort to Push Them Out  #news,1,0
politweecs,#Senate #Democrats successfully block defense spending bill they've opposed due to sequestration caps http://t.co/Nv9hvSnjvJ,0,0
moneyform,I swear everyday I try to make money somehow and always end up doing it lol. #$tayHungry @KrisCarter_ @tanaecherry http://t.co/p0C0K3vos6,0,1
moneyform,Bitches really be scared to make money like!! @kayanacutie_ @1migo__ @RockyL21 @HePerfectThO @datmanticore @SadKolin http://t.co/tBtgGvIzhs,0,1
moneyform,Whoever came up with the concept that it takes money to make money was right . @1migo__ @stevenferazo @_danielkimm http://t.co/YG019VRhql,0,1
moneyform,"Go to college, play sports, be on TV, my senior year in college, go to the Draft, go pro, make money, then a family @HePerfectThO",0,1
moneyform,I find it funny how people would even sell their gaming identity to make money off kids LOL broke niggas! @EscobedoLK http://t.co/rii5gRUr8q,0,1
moneyform,To Stay In Winston And Make Money or Go To Baltimore? @CashN0Checks @loor__ @CarydashM @EscobedoLK @Litto_Mermaid http://t.co/YG019VRhql,0,1
moneyform,"I mean, I hate that I don't get signal at work bc I love my phone. But whatevs. Gotta make money. @Litto_Mermaid http://t.co/p0C0K3vos6",0,1
moneyform,Wake up we need to make money @pcyix @CashN0Checks @__berryjuice__ @sovereignsty @lish_t23 @kayanacutie_ @KeY_YoLo_ http://t.co/yE9rmVbSwp,0,1
moneyform,Can the government quit tryna make money and actually do its job?! Besides we voted you all in your spots anyway...right? #BlackLivesMatter,0,1
moneyform,Since vvip ticket ariana's concert is IDR 6.000.000 so i always think how to earn money for 1d's concert everyday @littlemalikx,0,1
